position,title,slug,price,offer,product_link
70,Charlie Red by Revlon EDT 100ML for Women,womens-fragrance,989,-18%,https://www.pickaboo.com/product-detail/charlie-red-by-revlon-edt-100ml-for-women/
71,Shalis by Remy Marquis EDP 60ML for Women,womens-fragrance,"1,249",-20%,https://www.pickaboo.com/product-detail/shalis-by-remy-marquis-edp-60ml-for-women/
72,Victoria's Secret Pure Seduction Body Mist for Women 250ML,womens-fragrance,"1,449",-22%,https://www.pickaboo.com/product-detail/victoria-s-secret-pure-seduction-body-mist-for-women-250ml/
73,Victoria's Secret Bare Vanilla Body MIST for Women 250ML,womens-fragrance,"1,449",-22%,https://www.pickaboo.com/product-detail/victoria-s-secret-bare-vanilla-body-mist-for-women-250ml/
74,Victoria's Secret Bombshell Nights Body MIST for Women 250ML,womens-fragrance,"2,249",-22%,https://www.pickaboo.com/product-detail/victoria-secret-bombshell-nights-body-mist-for-women-250ml/
75,Victoria's Secret Romantic Body Mist for Women 250ML,womens-fragrance,"1,449",-22%,https://www.pickaboo.com/product-detail/victoria-s-secret-romantic-body-mist-for-women-250ml/
76,Species Perfume EDP 100ML for Women,womens-fragrance,849,-33%,https://www.pickaboo.com/product-detail/species-perfume-for-women/
77,Paco Rabanne Lady Million EDP 80ML for Women,womens-fragrance,"5,699",-17%,https://www.pickaboo.com/product-detail/paco-rabanne-lady-million-edp-80ml-for-women/
78,Carolina Herrera CHHC EDT 100ML for Women,womens-fragrance,"7,499",-4%,https://www.pickaboo.com/product-detail/carolina-herrera-chhc-edt-100ml-for-women/
79,Carolina Herrera Good Girl Legere EDP 100ML For Women,womens-fragrance,"8,499",-12%,https://www.pickaboo.com/product-detail/carolina-herrera-good-girl-legere-100ml-for-women/
80,Afnan 9 AM EDP 100ML for Unisex,womens-fragrance,"3,149",-5%,https://www.pickaboo.com/product-detail/afnan-9-am-edp-100ml-for-unisex/
81,Burberry Brit EDT 100ML for Women,womens-fragrance,"4,199",-7%,https://www.pickaboo.com/product-detail/burberry-brit-edt-100ml-for-women/
82,Areej EDP 100 ML for Unisex,womens-fragrance,"1,649",-16%,https://www.pickaboo.com/product-detail/areej-edp-100-ml-for-unisex/
83,Rumba By Ted Lapidus EDT 100ML for Women,womens-fragrance,"2,249",-23%,https://www.pickaboo.com/product-detail/rumba-by-tade-lapidus-edt-100ml-for-women/
84,Lattafa Badee Al Oud EDP 100ML For Unisex,womens-fragrance,"2,949",-15%,https://www.pickaboo.com/product-detail/lattafa-badee-al-oud-100-ml-for-unisex/
85,Dolce & Gabbana Light Blue EAU Intense EDP 100ML for Women,womens-fragrance,"8,499",-8%,https://www.pickaboo.com/product-detail/dolce-and-gabbana-light-blue-eau-intense-100ml-for-women/
86,Versace Bright Crystal EDT 90Ml for Women,womens-fragrance,"7,499",-12%,https://www.pickaboo.com/product-detail/versace-bright-crystal-edt-90ml-for-women/
87,Royal Mirage Brown Eau De Cologne 120ml for Unisex,womens-fragrance,"1,349",-13%,https://www.pickaboo.com/product-detail/royal-mirage-brown-eau-de-cologne-120ml-for-unisex/
88,Charlie Silver by Revlon EDT 100ML for Women,womens-fragrance,989,-18%,https://www.pickaboo.com/product-detail/charlie-silver-by-revlon-edt-100ml-for-women/
89,Charlie White by Revlon EDT 100ML for Women,womens-fragrance,989,-18%,https://www.pickaboo.com/product-detail/charlie-white-by-revlon-edt-100ml-for-women/
90,Calvin Klein CKIN2U EDT 100ML For Women,womens-fragrance,"2,899",-22%,https://www.pickaboo.com/product-detail/calvin-klein-ckin2u-for-her-eau-de-toilette-perfume-100ml-women/
91,Burberry Touch EDP 100ml for Women (3614226905000),womens-fragrance,"4,099",-13%,https://www.pickaboo.com/product-detail/burberry-touch-edp-100ml-for-women/
92,Coach New York Perfume EDP 90ML for Women,womens-fragrance,"6,499",-14%,https://www.pickaboo.com/product-detail/coach-new-york-perfume-edp-90ml-for-women/
93,Eternal Love XLouis Perfume EDP 100 ml for Women,womens-fragrance,"1,949",-18%,https://www.pickaboo.com/product-detail/eternal-love-xlouis-perfume-edp-100-ml-for-women/
94,Eternal Love Perfume EDP 100 ml for Women,womens-fragrance,"1,949",-18%,https://www.pickaboo.com/product-detail/eternal-love-perfume-edp-100-ml-for-woman/
95,United Colors of Benetton Hot EDP 100ml for Women,womens-fragrance,"1,399",-34%,https://www.pickaboo.com/product-detail/united-colors-of-benetton-hot-edp-100ml-for-women/
96,JEAN PAUL GAULTIER SO SCANDAL! EDP 80ML FOR WOMEN,womens-fragrance,"8,199",-30%,https://www.pickaboo.com/product-detail/jean-paul-gaultier-so-scandal-edp-80ml-for-women/
97,HUGO BOSS THE SCENT PRIVATE ACCORD EDP 100ML for Women,womens-fragrance,"6,799",-10%,https://www.pickaboo.com/product-detail/hugo-boss-the-scent-private-accord-edp-100ml-for-women/
98,Jimmy Choo EDP 100ML for Women,womens-fragrance,"7,199",-16%,https://www.pickaboo.com/product-detail/jimmy-choo-edp-100ml-tester-for-women/
99,Givenchy Hot Couture EDP 100ML for Women,womens-fragrance,"7,399",-13%,https://www.pickaboo.com/product-detail/givenchy-hot-couture-edp-100ml-for-women/
100,Armaf Club De Nuit Sillage EDP 100ML For Unisex,womens-fragrance,"4,399",-9%,https://www.pickaboo.com/product-detail/armaf-club-de-nuit-sillage-105ml-for-unisex/
101,Rasasi Blue Lady Perfume EDP with Free Deo Spray 40 ml for Women,womens-fragrance,"1,249",-14%,https://www.pickaboo.com/product-detail/rasasi-blue-lady-perfume-edp-with-free-deo-spray-40-ml-for-women/
102,CHRIS ADAMS ACTIVE WOMAN PERFUME EDP 100ML,womens-fragrance,"1,049",-17%,https://www.pickaboo.com/product-detail/chris-adams-active-woman-perfume-edp-100ml/
103,Davidoff Cool Water EDT 100 ml for Women,womens-fragrance,"3,099",-7%,https://www.pickaboo.com/product-detail/davidoff-cool-water-edt-100-ml-for-women/
104,Lattafa Maahir Black Edition EDP 100 ML for Unisex,womens-fragrance,"2,499",-14%,https://www.pickaboo.com/product-detail/lattafa-maahir-black-edition-eau-de-perfume-100-ml/
105,Victoria's Secret Aqua Kiss Body Mist 250 ml for Women,womens-fragrance,"1,449",-22%,https://www.pickaboo.com/product-detail/victoria-s-secret-aqua-kiss-body-mist-250-ml-for-women/
106,Victoria's Secret Love Addict Body Mist 250ML for Women,womens-fragrance,"1,449",-22%,https://www.pickaboo.com/product-detail/victoria-s-secret-love-addict-body-mist-250-ml-for-women/
107,ESSENZA LE PERLE EDP 100ML For WOMEN,womens-fragrance,"4,299",-11%,https://www.pickaboo.com/product-detail/essenza-le-perle-edp-100ml-for-women/
108,Paris Corner Magic Oud In Kalimat EDP 100ML For Unisex,womens-fragrance,"1,899",-12%,https://www.pickaboo.com/product-detail/paris-corner-magic-oud-in-kalimat-100ml-for-unisex/
109,Lattafa Oud Mood EDP 100ML for Unisex,womens-fragrance,"2,099",-11%,https://www.pickaboo.com/product-detail/lattafa-oud-mood-edp-100ml-for-unisex/
110,Calvin Klein (CK) ETERNITY MOMENT EDP 100ML FOR WOMEN,womens-fragrance,"4,299",-13%,https://www.pickaboo.com/product-detail/ck-eternity-moment-edp-100ml-for-women/
111,Calvin Klein SHEER BEAUTY EDT 100ML FOR WOMEN,womens-fragrance,"3,149",-26%,https://www.pickaboo.com/product-detail/ck-sheer-beauty-edt-100ml-for-women/
112,Rasasi Shuhrah Pour Femme EDP 90ML for Women,womens-fragrance,"2,899",-15%,https://www.pickaboo.com/product-detail/rasasi-shuhrah-women-edp-90-ml/
113,Mancera Cedrat Bosie EDP 120ML for Unisex,womens-fragrance,"10,399",-10%,https://www.pickaboo.com/product-detail/mancera-cedrat-bosie-120-ml/
114,Guess Seductive EDT 75ML for Women,womens-fragrance,"3,299",-11%,https://www.pickaboo.com/product-detail/guess-seductive-edt-75ml-for-women/
115,Calvin Klein ONE SHOCK WOMEN EDT 100 ML,womens-fragrance,"3,299",-16%,https://www.pickaboo.com/product-detail/ck-one-shock-women-edt-100-ml/
116,Calvin Klein ETERNITY WOMEN EDP 100ML,womens-fragrance,"3,999",-12%,https://www.pickaboo.com/product-detail/ck-eternity-women-edp-100ml/
117,Calvin Klein EUPHORIA WOMEN EDP 100ML,womens-fragrance,"5,199",-17%,https://www.pickaboo.com/product-detail/ck-euphoria-women-edp-100ml/
118,YSL Black Opium EDP 90ML For Women,womens-fragrance,"11,999",-10%,https://www.pickaboo.com/product-detail/ysl-opium-black-edp-90ml-for-women/
119,Burberry Brit EDP 100ML For Women,womens-fragrance,"4,399",-9%,https://www.pickaboo.com/product-detail/burberry-brit-women-edp-100ml/
120,Mancera Instant Crush EDP 120ML for Unisex,womens-fragrance,"11,399",-9%,https://www.pickaboo.com/product-detail/mancera-instant-crush-edp-120ml-for-unisex/
121,Mancera Oud Lemon Mint EDP 120ML for Unisex,womens-fragrance,"10,999",-13%,https://www.pickaboo.com/product-detail/mancera-oud-lemon-mint-edp-120ml-for-unisex/
122,Calvin Klein BEAUTY WOMEN EDP 100 ML (3607340213267),womens-fragrance,"3,149",-26%,https://www.pickaboo.com/product-detail/calvin-klein-beauty-for-women-edp-100ml-3607340213267/
123,Mancera Hindu Kush EDP 120ML for Unisex,womens-fragrance,"10,269",-18%,https://www.pickaboo.com/product-detail/mancera-hindu-kush-edp-120ml-for-unisex/
124,Coach New York EDT 90ML for Women,womens-fragrance,"6,199",-14%,https://www.pickaboo.com/product-detail/coach-the-fragrance-by-coach-for-women-edt-90ml-3386460079136/
125,Calvin Klein One Shock EDT 200ML For Women,womens-fragrance,"4,799",-13%,https://www.pickaboo.com/product-detail/calvin-klein-one-shock-women-edt-200ml-3607342401860/
126,CAROLINA HERRERA CH 212 SEXY EDP 100 ML FOR WOMEN (8411061865439),womens-fragrance,"7,499",-4%,https://www.pickaboo.com/product-detail/carolina-herrera-212-sexy-edp-100-ml-for-women-8411061865439/
127,JEAN PAUL GAULTIER SCANDAL EDP 80ML FOR WOMEN (8435415022033),womens-fragrance,"9,499",-10%,https://www.pickaboo.com/product-detail/jean-paul-gaultier-scandal-edp-50ml-for-women-8435415006378/
128,Britney Spears Fantasy EDP 100ml Perfume for Women,womens-fragrance,"3,399",-13%,https://www.pickaboo.com/product-detail/britney-spears-fantasy-eau-de-parfum-for-women-100ml/
129,RASASI DAAREJ EDP 100ML FOR WOMEN (614514177013),womens-fragrance,"2,499",-14%,https://www.pickaboo.com/product-detail/rasasi-daarej-for-women-edp-100ml/
130,Britney Spears Midnight Fantasy EDP 100ml Perfume for Women,womens-fragrance,"3,399",-13%,https://www.pickaboo.com/product-detail/britney-spears-midnight-fantasy-edp-for-women-100ml/
131,ELIZABETH ARDEN 5TH AVENUE EDP 125 ML FOR WOMEN (85805950149),womens-fragrance,"3,299",-16%,https://www.pickaboo.com/product-detail/elizabeth-arden-5th-avenue-women-edp-125ml-85805390600/
132,ELIZABETH ARDEN WHITE TEA EDT 100ML FOR WOMEN (85805557331),womens-fragrance,"3,299",-16%,https://www.pickaboo.com/product-detail/elizabeth-arden-white-tea-women-edt-100ml-85805557331/
133,ELIZABETH ARDEN SUNFLOWER EDT 100 ML FOR WOMEN (85805757748),womens-fragrance,"1,999",-20%,https://www.pickaboo.com/product-detail/elizabeth-arden-sunflowers-edt-100ml-for-women-85805757748/
134,Clinique Happy EDP 100ml Perfume for Women,womens-fragrance,"5,499",-7%,https://www.pickaboo.com/product-detail/clinique-happy-edp-100ml-perfume-for-women/
135,CHRISTIAN DIOR POISON EDT 100 ML FOR WOMEN (3348900011687),womens-fragrance,"14,499",-7%,https://www.pickaboo.com/product-detail/c-dior-poison-girls-edp-100ml-for-women/
136,Cerruti 1881 EDT 100ML for Women,womens-fragrance,"5,499",-16%,https://www.pickaboo.com/product-detail/cerruti-1881-edt-100ml-for-women/
137,VERSACE RED JEANS 75 ML FOR WOMEN (8018365270756),womens-fragrance,"2,949",-7%,https://www.pickaboo.com/product-detail/versace-red-jeans-for-women-edt-75-ml-spray-8018365270756/
138,Mancera Red Tobacco EDP 120ML for Unisex,womens-fragrance,"11,949",-5%,https://www.pickaboo.com/product-detail/mancera-red-tobacco-edp-120ml-for-unisex/
139,Guess Pink EDP 75ML for Women,womens-fragrance,"3,099",-7%,https://www.pickaboo.com/product-detail/guess-pink-edp-75ml-for-women/
140,Carolina Herrera Good Girl EDP 80ml for Women (8411061818961),womens-fragrance,"8,499",-22%,https://www.pickaboo.com/product-detail/carolina-herrera-good-girl-edp-80ml-for-women-8411061818961/
141,Calvin Klein OBSESSION WOMEN EDP 100 ML,womens-fragrance,"3,299",-26%,https://www.pickaboo.com/product-detail/ck-obsession-100ml-edp-for-women-88300103409/
142,BURBERRY WEEKEND EDP 100 ML FOR WOMEN (3614226905284),womens-fragrance,"4,799",-13%,https://www.pickaboo.com/product-detail/burberry-weekend-edp-100ml-for-women/
143,HUGO BOSS WOMEN EDP 90 ML (737052057989),womens-fragrance,"5,449",-7%,https://www.pickaboo.com/product-detail/hugo-boss-natural-spray-vaporisateur-edp-for-women-90ml-737052057989/
144,ELIZABETH ARDEN RED DOOR EDT 100ML (85805558420),womens-fragrance,"3,899",-12%,https://www.pickaboo.com/product-detail/elizabeth-arden-red-door-for-women-100ml-85805558420/
145,Calvin Klein TRUTH WOMEN EDP 100ML (088300049493),womens-fragrance,"3,549",-36%,https://www.pickaboo.com/product-detail/ck-truth-women-edp-100ml-088300049493/
146,VERSACE BRIGHT CRYSTAL ABSOLU EDP 90ML for WOMEN,womens-fragrance,"7,499",-6%,https://www.pickaboo.com/product-detail/versace-bright-crystal-absoul-90ml-for-women-8011003818112/
147,Calvin Klein BE EDT 100 ML FOR UNISEX,womens-fragrance,"2,799",-25%,https://www.pickaboo.com/product-detail/ck-be-edt-100-ml-for-men/
